City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,norrtalje,59.758,18.705,50.43,85,8,11.95,SE,1712874661
83,port mathurin,-19.6833,63.4167,79.88,77,7,10.8,MU,1712874625
84,acarau,-2.8856,-40.12,80.22,85,97,7.74,BR,1712874533
85,sake,-1.5736,29.045,63.23,95,98,1.19,CD,1712874536
86,mar del plata,-38.0023,-57.5575,57.09,67,75,4.61,AR,1712874639
87,klaksvik,62.2266,-6.589,45.52,92,100,26.71,FO,1712874512
88,bamboo flat,11.7,92.7167,80.53,81,7,4.9,IN,1712874006
89,severo-yeniseyskiy,60.3725,93.0408,-3.42,99,98,1.01,RU,1712874653
90,kingston,17.997,-76.7936,86.95,70,20,24.16,JM,1712874605
91,ilulissat,69.2167,-51.1,21.22,79,100,3.44,GL,1712873839
92,howrah,22.5892,88.3103,78.8,65,40,4.61,IN,1712874675
93,haiku-pauwela,20.9219,-156.3051,81.21,71,20,16.11,US,1712874676
94,abu dhabi,24.4667,54.3667,82.94,68,0,6.91,AE,1712874677
95,san patricio,28.017,-97.5169,87.66,21,0,11.48,US,1712873956
96,christchurch,-43.5333,172.6333,52.54,94,100,19.57,NZ,1712874511
97,barcelos,41.5388,-8.6151,60.94,81,100,5.5,PT,1712874627
98,karratha,-20.7377,116.8463,81.1,71,64,4.18,AU,1712874682
99,ridgecrest,35.6225,-117.6709,87.03,13,0,8.01,US,1712874683
100,hawaiian paradise park,19.5933,-154.9731,76.03,96,100,4.61,US,1712873894
101,miches,18.9836,-69.0476,77.49,82,60,12.82,DO,1712874685
102,weno,7.4515,151.8468,84.15,84,100,8.05,FM,1712874483
103,praia da vitoria,38.7333,-27.0667,61.05,94,75,7.56,PT,1712874157
104,hadibu,12.65,54.0333,80.53,78,95,4.7,YE,1712874687
105,aketi,2.7388,23.7833,78.08,59,90,3.47,CD,1712874688
106,carbonear,47.7332,-53.2148,38.37,68,0,11.05,CA,1712874689
107,vernon,50.2581,-119.2691,60.3,40,100,3.44,CA,1712874470
108,bathsheba,13.2167,-59.5167,83.01,74,20,16.11,BB,1712874691
109,den burg,53.0542,4.7972,55.96,94,100,13.8,NL,1712874629
110,kodiak,57.79,-152.4072,33.31,93,100,4.61,US,1712874692
111,hithadhoo,-0.6,73.0833,83.34,73,100,5.14,MV,1712874693
112,whitehorse,60.7161,-135.0538,45.37,33,20,13.8,CA,1712874224
113,princeville,45.7668,-61.2985,44.31,77,0,10.36,CA,1712874694
114,tralee,52.2704,-9.7026,52.75,98,100,4.68,IE,1712874696
115,chul'man,56.8479,124.9104,24.28,97,100,1.01,RU,1712874679
116,queenstown,-31.8976,26.8753,40.73,85,0,1.1,ZA,1712874492
117,island harbour,50.724,-1.2758,53.22,90,91,5.99,GB,1712874664
118,qaqortoq,60.7167,-46.0333,20.61,87,63,2.26,GL,1712873897
119,antsiranana,-12.2787,49.2917,76.75,92,49,4.25,MG,1712874700
120,lokomotivnyy,53.0118,60.5684,41.47,80,99,15.88,RU,1712874700
121,ingeniero jacobacci,-41.3427,-69.5448,42.44,73,100,16.67,AR,1712874527
122,nadym,65.5333,72.5167,9.23,91,100,30.62,RU,1712874702
123,formosa,-26.1775,-58.1781,72.97,96,100,1.99,AR,1712874640
124,bredasdorp,-34.5322,20.0403,56.34,72,4,8.48,ZA,1712874649
125,sao paulo de olivenca,-3.3783,-68.8725,76.8,95,88,0.63,BR,1712874705
126,moree,-29.4667,149.85,68.68,60,0,10.85,AU,1712874706
127,le port,-20.9373,55.2919,78.8,84,62,7.63,RE,1712874707
128,cabo san lucas,22.8909,-109.9124,82.62,39,40,8.05,MX,1712874516
129,carnarvon,-24.8667,113.6333,70.29,65,72,20.11,AU,1712874709
130,sojat,25.9167,73.6667,79.16,39,55,8.25,IN,1712874709
131,college,64.8569,-147.8028,43.45,43,75,9.22,US,1712874490
132,lompoc,34.6391,-120.4579,83.79,72,0,10.36,US,1712874186
133,puerto lempira,15.2667,-83.7667,87.67,61,55,15.14,HN,1712873911
134,la ronge,55.1001,-105.2842,43.05,52,20,8.05,CA,1712874713
135,coquimbo,-29.9533,-71.3436,56.93,94,100,5.75,CL,1712874520
136,thompson,55.7435,-97.8558,33.96,75,100,9.22,CA,1712874715
137,muntok,-2.0667,105.1833,78.51,88,98,3.47,ID,1712874715
138,yellowknife,62.456,-114.3525,37.92,60,40,10.36,CA,1712874487
139,quellon,-43.1167,-73.6167,50.67,70,0,5.23,CL,1712874589
140,caleta de carquin,-11.0925,-77.6267,73.04,79,57,10.63,PE,1712874702
141,ust-nera,64.5667,143.2,19.24,92,89,5.35,RU,1712874719
142,belmonte,-15.8631,-38.8828,79.07,85,48,5.73,BR,1712874720
143,east london,-33.0153,27.9116,60.08,64,40,15.08,ZA,1712874609
144,jamestown,42.097,-79.2353,63.99,97,100,8.05,US,1712874449
145,conceicao da barra,-18.5933,-39.7322,76.75,88,20,5.17,BR,1712874723
146,happy valley-goose bay,53.3168,-60.3315,53.91,22,75,12.66,CA,1712874531
147,codrington,-38.2667,141.9667,59.0,62,99,8.21,AU,1712874725
148,aswan,24.0934,32.907,74.5,21,0,3.44,EG,1712874726
149,chulakkurgan,43.765,69.1814,50.63,68,100,9.89,KZ,1712874606
150,ketchikan,55.3422,-131.6461,45.07,76,100,5.75,US,1712874630
151,motygino,58.1831,94.7592,11.79,97,100,1.99,RU,1712874728
152,geidam,12.897,11.9304,84.52,8,74,9.31,NG,1712874729
153,bargaal,11.2864,51.0773,80.98,82,67,6.2,SO,1712874730
154,kidal,18.4411,1.4078,88.47,10,82,12.39,ML,1712874550
155,san luis de la loma,17.2706,-100.8939,82.65,62,4,5.41,MX,1712874732
156,taoudenni,22.6783,-3.9836,82.85,10,0,10.71,ML,1712874733
157,elbeuf,49.2867,1.0029,60.53,82,100,2.3,FR,1712874735
158,vila franca do campo,37.7167,-25.4333,64.89,99,36,3.71,PT,1712874735
